sample	origin_pop	origin_type	treatment_pop	treatment_type	code	comparison_type	comparison_pop	comparison_3levels	F_FW_rosette	F_FW_aboveground_tot	F_FW_root	F_DW_rosette	F_DW_aboveground_tot	F_DW_root	F_RGR_max	F_WC1	F_WC2	F_LMA	F_fvfm	F_PIabs	F_Zn_S	F_Cd_S	F_Pb_S	F_Mg_S	F_Ca_S	F_K_S	F_Na_S	F_Cu_S	F_Fe_S	F_P_S	F_Zn_R	F_Cd_R	F_Pb_R	F_Mg_R	F_Ca_R	F_K_R	F_Na_R	F_Cu_R	F_Fe_R	F_P_R	F_rosette_hight	F_stem_nr	F_max_stem_length	F_epid_up	F_mes	F_epid_low	F_whole_leaf	F_cuti_up	F_cuti_low	F_stom_size_up_la	F_stom_size_up_sa	F_stom_area_up	F_stom_size_low_la	F_stom_size_low_sa	F_stom_area_low	F_stom_dens_low	F_stom_dens_up	F_palisade_long	F_palisade_short	F_trich_dens_up	F_trich_dens_low	F_whole_leaf_added	F_epid_up_propa	F_mes_propa	F_epid_low_propa	F_protection	F_assim_protection_prop	F_epid_up_propb	F_mes_propb	F_epid_low_propb	F_palisade_index	F_pollen_n_alive	F_pollen_n_dead	F_pollen_n_degen	F_pollen_n_deaddegen	F_pollen_n_all	F_pollen_viability_perc	F_pollen_dead_perc	F_pollen_degen_perc	F_pollen_deaddegen_perc	F_pollen_diameter
M_PL22_103	M_PL22	M	NM_PL14	NM	M_PL22_103_NM_PL14	allopatric	allopatric	far_allopatric	16.242	26.181	0.457	1.704	3.765	0.151	0.034496643	89.05579399	8.137	0.003195698	0.831666667	1.9213	11791	202.1	1.8	4191	20617	16670	88	9.1	2301.629	0.47	4475	84.3	1.8	845	3135	16048	38	8.3	500.13	0.33	5.5	18.5	47.5	18.64	90.220001	20.2349995	117.290001	0.62	0.52	15.74166675	13.89	172.2766038	15.64166675	13.42416667	166.7129023	227.5910364	385.1540616	38.5050015	34.025	0.470204339	0.671720484	129.0950005	0.158922328	0.769204538	0.172521096	38.8749995	2.32077176	0.14438979	0.698865182	0.156745028	1.131667935	719	6	67	73	792	90.78	0.76	8.46	9.217171717	17.765
M_PL22_103	M_PL22	M	NM_PL35	NM	M_PL22_103_NM_PL35	allopatric	allopatric	far_allopatric	2.63	2.63	0.345	0.3997	0.3997	0.0727	0.033513368	82.18623482	4.614	0.008126443	0.797333333	1.3727	779	12.4	2.1	2380	7396	15828	46	4.5	2099.081	0.33	654	13.2	4	1240	4365	5864	230	7.5	2430.4865	0.31	1	30	26	23.62	105.945	22.2150005	138.760002	0.625	0.575	16.5658335	14.37416667	187.3756619	16.4575	14.9125	193.3561791	455.1820728	350.140056	36.9799995	25.0599995	0.335860242	0.268688194	151.7800005	0.170221964	0.763512529	0.160096571	45.8350005	2.311443195	0.155619976	0.698016864	0.14636316	1.475658429	268	6	2	8	276	97.1	2.17	0.72	2.898550725	17.53666667
M_PL22_104	M_PL22	M	M_PL22	M	M_PL22_104_M_PL22	sympatric	sympatric	sympatric	2.077	2.077	2.05	0.3598	0.3598	0.3063	0.024117155	79.03930131	3.771	0.006691463	0.793333333	1.4463	15445	331.8	214.5	5880	19563	13016	37	7.6	3178.896	0.34	4229	297.1	280.7	1802	5397	8536	54	20.8	2037.462	0.25	1.166666667	6.333333333	11.66666667	21.9349995	154.9100035	15.61	182.1949995	0.635	0.595	17.80583342	14.73416658	206.6849223	17.7425	14.80499992	206.7105385	420.1680672	350.140056	31.195	21.6599995	2.283849645	2.283849645	192.455003	0.120392983	0.850242893	0.085677434	37.5449995	4.125982303	0.113974691	0.80491544	0.081109869	1.440212406	125	0	3	3	128	97.66	0	2.34	2.34375	18.565
M_PL22_104	M_PL22	M	M_PL27	M	M_PL22_104_M_PL27	sympatric	allopatric	near_allopatric	3.707	3.707	1.947	0.474	0.63	0.254	0.039363078	83.24250681	4.967	0.002289508	0.817666667	2.3923	15660	472.3	176.7	8739	25463	16695	21	3.8	1111.179	0.21	2200	179.7	339.2	1969	5251	8551	118	4.6	351.6115	0.12	4.666666667	18.33333333	49.33333333	22.8	144.8150025	22.969999	177.965004	0.64	0.515	15.21499983	13.2425	159.0450506	16.27500017	14.13333333	180.6864912	280.1120448	385.1540616	42.5300005	36.1550005	0.738892532	1.007580726	190.5850015	0.128115076	0.813727414	0.129070314	45.769999	3.163972158	0.119631659	0.759844696	0.120523645	1.176324157	611	7	0	7	618	98.87	1.13	0	1.132686084	18.11
M_PL22_104	M_PL22	M	NM_PL14	NM	M_PL22_104_NM_PL14	allopatric	allopatric	far_allopatric	2.876	6.955	0.598	0.305	0.749	0.146	0.034008648	88	7.333	0.004158362	0.832	1.8303	8973	148.2	1.5	5213	19482	18227	151	9.1	2760.922	0.51	2865	200.7	4.5	1499	3965	13635	74	9.3	3254.3525	0.37	1.666666667	28.33333333	36.33333333	15.9750005	93.82	12.245	117.8250005	0.72	0.605	16.41249992	15.56000008	201.5875838	15.6883335	14.38249992	178.4888938	542.7170868	332.6330532	31.8549995	21.8099995	0.268688194	0.470204339	122.0400005	0.135582435	0.796265645	0.103925313	28.2200005	3.324592429	0.130899709	0.768764336	0.100335955	1.460568557	1137	19	9	28	1165	97.6	1.63	0.77	2.403433476	17.98166667
M_PL22_104	M_PL22	M	NM_PL35	NM	M_PL22_104_NM_PL35	allopatric	allopatric	far_allopatric	2.873	2.873	1.788	0.5104	0.5104	0.397	0.015450729	82.42574257	4.69	0.010291452	0.751333333	1.4073	2325	24.1	3.8	2297	8077	15643	47	4.3	2753.62	0.31	894	13.4	1.2	1199	5077	8306	80	3.9	1174.239	0.2	1.833333333	31.33333333	41.66666667	23.42	131.769997	15.05	163.705002	0.68	0.64	17.61833308	15.25083342	212.058386	17.06833342	14.3	192.0945556	472.6890756	210.0840336	45.5	26.8899995	0.604548436	0.940408678	170.239997	0.143062214	0.804923462	0.09193366	38.47	3.425266363	0.137570491	0.774024902	0.088404607	1.692078871	788	8	4	12	800	98.5	1	0.5	1.5	18.60833333
M_PL22_105	M_PL22	M	M_PL22	M	M_PL22_105_M_PL22	sympatric	sympatric	sympatric	NA	NA	NA	NA	NA	NA	0.028318691	NA	NA	NA	0.7785	1.8213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7	19.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	585	17	11	28	613	95.43	2.77	1.79	4.567699837	16.73333333
M_PL22_105	M_PL22	M	M_PL27	M	M_PL22_105_M_PL27	sympatric	allopatric	near_allopatric	0.486	17.568	2.173	0.105	0.369	0.7405	0.051602692	80.59701493	4.154	0.003375827	0.78675	2.6817	8282	358.8	333.4	10059	24661	24158	37	4.9	1808.658	0.22	1845	167.6	707.4	2835	4489	11377	20	3.7	247.5325	0.09	3	16	66	22.785001	139.300003	23.405001	175.720001	0.675	0.53	16.08166683	13.25666667	167.4903883	16.17083342	13.63583333	173.3833082	332.6330532	490.1960784	52.9699995	39.4	1.007580726	0	185.490005	0.12966652	0.79273846	0.13319486	46.190002	3.015804221	0.122836813	0.750983876	0.126179311	1.344416231	555.5	1.5	0	1.5	557	99.73	0.27	0	0.26929982	15.8625
M_PL22_105	M_PL22	M	NM_PL14	NM	M_PL22_105_NM_PL14	allopatric	allopatric	far_allopatric	1.73	2.577	1.184	0.218	0.721	0.266	0.033451578	88.16425121	7.449	0.004327107	0.830333333	2.6777	6338	101.5	3.2	3911	16374	21830	121	9.6	3017.664	0.54	2878	39	0.7	1384	3536	18524	36	8.1	906.782	0.53	2.5	30.5	22	19.6450005	112.3900035	11.605	141.010002	0.72	0.595	15.46916667	14.32083333	176.0405188	15.04583358	13.42	159.8142806	227.5910364	262.605042	29.915	23.4700005	0.873236629	0.604548436	143.640004	0.139316362	0.797035685	0.082299127	31.2500005	3.596480054	0.136765525	0.782442219	0.080792256	1.274605853	788	3	40	43	831	94.83	0.36	4.81	5.174488568	16.08166667
M_PL22_105	M_PL22	M	NM_PL35	NM	M_PL22_105_NM_PL35	allopatric	allopatric	far_allopatric	9.124	15.655	5.404	1.5865	3.2131	1.1519	0.020471928	81.3253012	4.355	0.012541025	0.7745	0.8505	1062	12.4	1.7	2556	6780	28285	37	3.6	1293.221	0.34	694	8.3	1.3	1367	3583	8035	85	4.4	316.608	0.25	1.666666667	38.66666667	19.66666667	17.4349995	95.5	15.125	118.1150015	0.51	0.46	16.86583333	13.81416667	183.9747945	16.35416667	13.49083333	174.3525215	420.1680672	280.1120448	35.9050005	20.2300005	3.828806758	2.754053984	128.0599995	0.147610374	0.808534046	0.128053167	32.5599995	2.933046728	0.136147115	0.745744185	0.1181087	1.774839328	556	3	0	3	559	99.46	0.54	0	0.53667263	17.93666667
M_PL22_106	M_PL22	M	M_PL22	M	M_PL22_106_M_PL22	sympatric	sympatric	sympatric	NA	NA	NA	NA	NA	NA	0.023002768	73.4375	1.214	0.012005763	0.8015	2.495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.166666667	23	29.33333333	15.285	82.4399985	14.965	106.044998	0.63	0.515	16.13000033	13.26333333	169.1871776	15.20833317	13.42583333	160.9052726	367.6470588	455.1820728	27.7950005	20.009999	5.575280017	2.485365791	112.6899985	0.144136926	0.777405819	0.141119339	30.25	2.725289207	0.135637592	0.731564465	0.132797943	1.389055567	393	50	5	55	448	56.03	42.86	1.12	43.97321429	16.15
M_PL22_106	M_PL22	M	M_PL27	M	M_PL22_106_M_PL27	sympatric	allopatric	near_allopatric	0.513	0.513	1.525	0.085	0.085	0.272	0.042512973	73.4375	2.765	0.002231362	0.784666667	2.23	10360	207.5	641.3	10712	24173	17474	37	5.3	4498.97	0.28	2276	147.7	1040.6	3538	5238	8024	28	6.2	601.0315	0.06	1	14	75	16.2300005	105.2849995	14.345	132.955002	0.58	0.545	17.7216665	14.595	202.7978084	17.52083342	13.64083333	188.0804379	315.1260504	332.6330532	34.5249995	27.759999	0.470204339	0.537376387	135.86	0.122071379	0.791884457	0.107893647	30.5750005	3.443499519	0.119461214	0.774952153	0.105586633	1.243695992	340	45	25	70	410	58.05	33.41	8.54	41.95121951	15.665
M_PL22_106	M_PL22	M	NM_PL14	NM	M_PL22_106_NM_PL14	allopatric	allopatric	far_allopatric	1.236	2.731	0.06	0.216	0.597	0.021	0.009556151	81.50684932	4.407	0.006755643	0.8185	1.9383	3559	79	6.9	3805	9955	19955	105	6.9	4613.694	0.35	3824	96.1	1.4	1427	11883	13539	78	10.9	721.079	0.29	0	21.5	64.5	17.0799995	98.965	15.7050005	130.260002	0.68	0.595	17.12250025	15.47666675	208.4772513	18.83916675	15.33333342	227.5306945	227.5910364	437.67507	42.4400005	31.705001	0.806064581	0.470204339	131.75	0.131122365	0.75974972	0.120566561	32.785	3.01860607	0.129639465	0.751157495	0.11920304	1.338590101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M_PL22_106	M_PL22	M	NM_PL35	NM	M_PL22_106_NM_PL35	allopatric	allopatric	far_allopatric	1.849	1.849	1.998	0.3347	0.3347	0.4334	0.025874031	72.97297297	2.7	0.010869315	0.802666667	2.071	929	11	3.2	1959	4210	13156	55	4.3	2602.657	0.42	1101	11	2.1	1550	5577	6597	77	4.6	659.101	0.22	4.666666667	38	25.66666667	16.105	89.5550005	12.915	114.18	0.57	0.49	17.16500033	14.45416675	195.3319248	16.79916667	14.12833325	188.886287	560.2240896	455.1820728	30.0549995	18.71	0	0	118.5750005	0.141049221	0.784331761	0.113110878	29.02	3.085975207	0.13582121	0.755260385	0.108918406	1.606360208	643	4	2	6	649	99.08	0.62	0.31	0.92449923	17.41833333
M_PL22_107	M_PL22	M	M_PL22	M	M_PL22_107_M_PL22	sympatric	sympatric	sympatric	0.97	0.97	1.328	0.205	0.205	0.3262	0.01427835	78.38827839	3.627	0.015545926	0.8135	2.5875	10833	72.9	343.2	5440	19216	9153	37	10.1	4974.384	0.46	3059	85.8	241.7	2962	4750	9344	29	8.7	2505.75	0.26	1	0.666666667	11.33333333	27.9450005	154.989998	22.21	189.459999	0.58	0.555	16.87166683	14.415	190.9796639	17.00166667	15.4825	206.7975156	280.1120448	280.1120448	40.414999	25.549999	0	0	205.1449985	0.147498156	0.818061854	0.117227912	50.1550005	3.090220246	0.136220725	0.755514388	0.108264887	1.581800414	461	47	4	51	512	90.04	9.18	0.78	9.9609375	16.22833333
M_PL22_107	M_PL22	M	M_PL27	M	M_PL22_107_M_PL27	sympatric	allopatric	near_allopatric	0.01	1.322	0.608	NA	0.392	0.2676	0.052429132	83.44709898	5.041	0.007324568	0.821	3.7837	20346	200	25.1	5155	11617	10894	44	2.5	492.917	0.19	4525	31.8	78.1	1753	3244	9518	60	11.1	165.592	0.18	0	10.33333333	64.66666667	22.1750005	186.2549975	15.5750005	218.664993	0.665	0.7	19.135	15.22583333	228.4170537	19.51833367	15.04416658	231.411786	210.0840336	157.5630252	56.175001	38.179998	0	0	224.0049985	0.101410839	0.851782423	0.071227682	37.750001	4.933907088	0.098993329	0.83147697	0.069529701	1.471320166	339	39	8	47	386	87.82	10.1	2.07	12.1761658	16.33333333
M_PL22_107	M_PL22	M	NM_PL14	NM	M_PL22_107_NM_PL14	allopatric	allopatric	far_allopatric	2.113	12.26	0.602	0.407	3.898	0.18	0.025671509	84.95297806	5.646	0.00245545	0.827333333	3.1467	4271	46.9	2.8	3106	13084	17891	83	5.7	2645.96	0.36	1959	38.4	1.1	1181	7227	12728	74	10.1	539.923	0.43	0.666666667	16.33333333	40	17.9499995	106.465	15.2049995	135.2999995	0.825	0.795	16.78333325	13.9025	183.5134242	16.5458335	14.295	185.991378	367.6470588	367.6470588	38.1900005	29.634999	0	0	139.619999	0.132668142	0.786881008	0.112379893	33.154999	3.21112964	0.12856324	0.762534026	0.108902733	1.288678987	566	87	19	106	672	84.23	12.95	2.83	15.77380952	16.41
M_PL22_107	M_PL22	M	NM_PL35	NM	M_PL22_107_NM_PL35	allopatric	allopatric	far_allopatric	1.302	2.984	3.622	0.2785	0.6589	0.7926	0.02246779	72.97297297	2.7	0.016135529	0.795666667	2.4587	1300	12.1	4	2495	5328	14524	66	3.5	4340.16	0.29	787	9.5	1.5	1674	3297	10080	94	3.7	1119.4065	0.24	0.666666667	36	36.33333333	19.3699995	100.2299995	13.395	125.7649995	0.685	0.53	18.27749992	14.97416658	216.3515552	17.98916692	15.08166675	216.1344581	525.210084	385.1540616	42.040001	24.780001	0	0	132.994999	0.15401741	0.796962588	0.10650817	32.7649995	3.059056952	0.14564457	0.753637357	0.100718073	1.696529431	403	90	2	92	495	81.41	18.18	0.4	18.58585859	16.52833333
M_PL22_108	M_PL22	M	M_PL22	M	M_PL22_108_M_PL22	sympatric	sympatric	sympatric	1.343	2.003	2.244	0.2091	0.3395	0.4153	0.022524143	80	4	0.005458615	0.7995	3.2935	13248	105.1	154.2	4523	18911	10937	35	6.9	2079.888	0.38	3422	64.4	88.2	3193	4050	11495	34	5.5	688.521	0.19	1.333333333	13.66666667	32.33333333	18.3150005	114.5300025	15.755	136.1399995	0.64	0.52	17.37416675	14.65250017	200.8266474	16.96083317	13.965	186.0466011	280.1120448	385.1540616	35.04	27.8649995	0	0	148.600003	0.134530634	0.841266365	0.115726458	34.0700005	3.361608477	0.123250337	0.770726785	0.106022878	1.257491499	529	3	0	3	532	99.44	0.56	0	0.563909774	16.27833333
M_PL22_108	M_PL22	M	M_PL27	M	M_PL22_108_M_PL27	sympatric	allopatric	near_allopatric	NA	NA	NA	NA	NA	NA	0.046917233	78.4	3.63	0.005206296	0.798333333	2.057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.333333333	17.66666667	55.66666667	23.525001	157.8899995	19.34	189.8450015	0.715	0.695	17.23916683	13.43083333	182.2252367	18.31749983	14.54666675	209.1165081	140.0560224	332.6330532	57.8850005	38.7849995	0	0	200.7550005	0.123916884	0.831678465	0.101872579	42.865001	3.683424608	0.11718264	0.78648103	0.09633633	1.492458457	843	5	4	9	852	98.94	0.59	0.47	1.056338028	16.89666667
M_PL22_108	M_PL22	M	NM_PL14	NM	M_PL22_108_NM_PL14	allopatric	allopatric	far_allopatric	6.613	11.191	0.71	0.917	2.288	0.326	0.031723748	87.70614693	7.134	0.002301397	0.825666667	2.7233	9423	113.4	2.1	4914	14997	21874	87	9.2	3155.53	0.38	3903	66.8	3.7	1669	5527	14465	65	6.6	1848.794	0.24	0	18.66666667	54	19.46	130.7449955	20.5300005	162.620003	0.67	0.685	19.4408335	15.42333333	235.4456814	18.23499983	14.7	210.7433608	227.5910364	262.605042	40.965	32.964999	0	0	170.734996	0.119665476	0.803990857	0.126245235	39.9900005	3.269442207	0.113977805	0.765777366	0.12024483	1.24268167	492	20	27	47	539	91.28	3.71	5.01	8.719851577	16.50833333
M_PL22_108	M_PL22	M	NM_PL35	NM	M_PL22_108_NM_PL35	allopatric	allopatric	far_allopatric	6.622	10.045	4.626	0.9879	1.7825	1.1424	0.021363674	81.04395604	4.275	0.012383573	0.775	1.6863	1118	9.9	2.5	3278	8493	31390	45	3.7	1194.449	0.39	1015	9.6	1.3	1140	3664	5858	91	3.7	246.157	0.18	1	25	30.66666667	17.2199995	106.2299995	15.5650005	130.6850055	0.54	0.56	18.16333325	14.7525	210.5922314	18.62250008	14.90583317	217.9461563	525.210084	385.1540616	52.495001	29.755	0	0	139.0149995	0.131767217	0.812870605	0.119103186	32.785	3.240201296	0.123871522	0.76416214	0.111966339	1.764241338	427	5	1	6	433	98.61	1.15	0.23	1.385681293	16.35833333
M_PL22_109	M_PL22	M	M_PL22	M	M_PL22_109_M_PL22	sympatric	sympatric	sympatric	0.367	0.367	0.139	0.0691	0.0691	0.0254	0.01853593	78.94736842	3.75	0.004606906	0.7635	2.7928	7221	110.7	345.4	3716	12938	12206	57	12.2	4291.176	0.36	3314	177	178.8	1917	6104	5167	66	18.2	1294.7085	0.22	0	13	24.33333333	15.06	122.6499975	14.355	143.375	0.615	0.54	16.54166692	15.09749967	197.636401	16.37083333	13.34166658	172.9770525	315.1260504	385.1540616	29.134999	23.5500005	0	0	152.0649975	0.105039233	0.85544898	0.100122058	29.415	4.169641254	0.099036598	0.80656298	0.094400422	1.237154921	238	1	7	8	246	96.75	0.41	2.85	3.25203252	15.66333333
